"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_Red.M_Red","0","37","7","1","72.976128","0","118"
"/Game/City_of_Brass_Enviroment/Materials/Lum_material.Lum_material","0","74","1","1","94.633949","0","2695"
"/Game/City_of_Brass_Enviroment/Materials/base_material.base_material","0","60","1","1","86.571449","0","1829"
"/Game/City_of_Brass_Enviroment/Materials/Enviro_Substance_Material.Enviro_Substance_Material","0","74","1","1","124.843285","0","2593"
"/Game/City_of_Brass_Enviroment/Materials/Paint_Ground.Paint_Ground","0","39","1","1","113.778046","39","581"
"/Game/City_of_Brass_Enviroment/Materials/water_Translucent_material.water_Translucent_material","0","46","1","1","90.502571","0","578"
"/Game/City_of_Brass_Enviroment/Materials/Enviro_Substance_Alpha_Material.Enviro_Substance_Alpha_Material","0","108","1","1","155.156296","0","1563"
"/Game/City_of_Brass_Enviroment/Materials/Lum_Pattern_material.Lum_Pattern_material","0","74","1","1","122.832741","0","681"
"/Game/City_of_Brass_Enviroment/Materials/Enviro_Substance_Emissive_Mat.Enviro_Substance_Emissive_Mat","0","74","1","1","125.163376","0","981"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_Char_Golden.M_Char_Golden","0","28","1","1","49.400230","0","192"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_TacticiaAirglow.M_TacticiaAirglow","0","20","1","1","25.342024","0","162"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_SparksPhoto.M_SparksPhoto","0","20","1","1","27.228025","0","113"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_Terra_ChromaticFresnel.M_Terra_ChromaticFresnel","0","28","3","1","32.783840","0","220"
"/Game/City_of_Brass_Enviroment/Materials/Foliage_mat.Foliage_mat","0","108","1","1","166.805542","0","1836"
"/Game/City_of_Brass_Enviroment/Materials/Cloth_Substance_material.Cloth_Substance_material","0","60","1","1","104.901375","0","727"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_Crunch_Impact_02.M_Crunch_Impact_02","0","14","1","1","15.276270","0","77"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_Fire_Procedural_Round.M_Fire_Procedural_Round","0","15","1","1","18.295536","0","89"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_CleanseFlare.M_CleanseFlare","0","25","1","1","28.548166","0","252"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_Turbulent_SmokeSubUV.M_Turbulent_SmokeSubUV","0","20","1","1","26.268259","0","160"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_Lensflare_TB_Soft_LDR2HDR.M_Lensflare_TB_Soft_LDR2HDR","0","40","2","2","24.492809","0","326"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_Lensflare_TB_Soft.M_Lensflare_TB_Soft","0","15","1","1","16.076542","0","86"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_Hotdog_Spark_VLerp_MASTERKwang.M_Hotdog_Spark_VLerp_MASTERKwang","0","20","1","1","25.980200","0","139"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_Radial_Gradient_DepthFade.M_Radial_Gradient_DepthFade","0","20","1","1","21.527910","0","152"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_TerraHitArc.M_TerraHitArc","0","36","1","1","37.988422","0","378"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_WeaponSet_1.M_WeaponSet_1","0","37","1","1","56.636749","0","389"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_Hotdog_Spark_VLerp_MASTER.M_Hotdog_Spark_VLerp_MASTER","0","20","1","1","23.166441","0","188"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_Soft_Spark_Glow.M_Soft_Spark_Glow","0","20","1","1","17.566423","0","154"
"/Game/FlexibleCombatSystem/DemoRoom/VFX/Materials/M_Crunch_Impact_Ring.M_Crunch_Impact_Ring","0","28","1","1","22.132891","0","193"
